CC_4,NAME_4,lat,lon,east,north,value
3303120003,Karangmalang,-7.313382223218036,109.39072430437753,322352.31637989904,9191289.939693553,29.222677
3303100005,Patemon,-7.351609006487566,109.3664808233067,319690.76821136195,9187052.721307714,21.172983
3303020004,Cipawon,-7.44104496824291,109.45718372318882,329739.35018862155,9177197.753443705,14.446692
3303050008,Kaligondang,-7.381247950065582,109.40615490330507,324082.8344815329,9183790.742269078,29.594555
3303050012,Kalikajar,-7.376978358116766,109.38120438331754,321326.55354364135,9184252.998159088,41.597338
3303050011,Penaruban,-7.386622309625204,109.37930846065521,321121.1152003043,9183185.699722089,13.770311
3303050004,Penolih,-7.392800907153305,109.42860444227391,326565.76881376555,9182521.910951698,24.551927
3303070011,Kalimanah Wetan,-7.414061942573854,109.34392748609358,317226.3012659847,9180136.692695301,27.662517
3303070015,Kedungwuluh,-7.403081837497342,109.32273578860068,314882.23216181796,9181342.249231305,28.074116
3303070007,Mewek,-7.410622652127829,109.36687707417964,319758.4233368371,9180526.43803999,40.749796
3303150003,Pekiringan,-7.321052805352745,109.46971092759009,331076.59538205573,9190472.101996684,73.818898
3303150009,Tunjungmuli,-7.266123834226421,109.47147463058296,331250.7515956305,9196547.154860487,16.245634
3303130005,Tlahab Kidul,-7.2555720311126635,109.34647920774148,317443.40216146153,9197665.615955427,16.911889
3303030001,Bandingan,-7.403199767833841,109.43583964396989,327368.5518338626,9181374.728859961,16.223232
3303010011,Senon,-7.465875901793331,109.36898837253642,320014.02559320326,9174416.713645924,18.698579
3303090004,Kutasari,-7.352857569273951,109.32518779653213,315132.0766932012,9186897.789933445,18.362101
3303090002,Munjul,-7.3622828994250185,109.33583517255583,316311.5489910223,9185859.793222826,25.608195
3303110017,Binangun,-7.280295175695568,109.297990122858,312098.7407756206,9194911.541176122,21.862702
3303110016,Cipaku,-7.313538656244676,109.32841489394433,315472.18885284354,9191247.556559684,11.205737
3303110015,Pager Andong,-7.305715839797473,109.3297068620422,315611.6399373359,9192113.241262158,14.585764
3303110019,Sangkanayu,-7.272155605627087,109.32137136843698,314677.4052299282,9195821.385415044,17.736786
3303080006,Bojanegara,-7.3816620743420325,109.33404198951145,316121.56361562,9183715.83848631,15.085232
3303080004,Padamara,-7.383071364890339,109.31861045449972,314418.43743903644,9183553.582501648,33.156499
3303080010,Prigi,-7.373552700622618,109.31986714573588,314553.2166704196,9184606.818917325,30.835646
3303040002,Pengadegan,-7.376160244170371,109.46743396875983,330846.04610485584,9184377.094138823,9.308387
3303060004,Jatisaba,-7.400976282674011,109.38801285759878,322087.8328742958,9181601.76527609,26.831232
3303060007,Penambongan,-7.401193629945233,109.36860566089717,319945.4229240686,9181569.914948503,20.665427
3303060011,Purbalingga Lor,-7.386665073418646,109.35987303893937,318975.4400861593,9183173.118361738,46.239211
