CC_4,NAME_4,value_true,value_pred,error
3303120003,Karangmalang,29.222677,25.823747817324712,3.398929182675289
3303100005,Patemon,21.172983,27.786960396264735,-6.613977396264737
3303020004,Cipawon,14.446692,22.847094030048257,-8.400402030048257
3303050008,Kaligondang,29.594555,26.75468203358273,2.8398729664172713
3303050012,Kalikajar,41.597338,21.513900748936038,20.083437251063962
3303050011,Penaruban,13.770311,34.56872129555302,-20.79841029555302
3303050004,Penolih,24.551927,21.143727448545068,3.4081995514549313
3303070011,Kalimanah Wetan,27.662517,29.964898926299345,-2.3023819262993435
3303070015,Kedungwuluh,28.074116,28.07358163083028,0.0005343691697206054
3303070007,Mewek,40.749796,24.583374979412152,16.16642102058785
3303150003,Pekiringan,73.818898,20.875704744858623,52.94319325514138
3303150009,Tunjungmuli,16.245634,38.92211062442594,-22.67647662442594
3303130005,Tlahab Kidul,16.911889,19.124801806099626,-2.2129128060996273
3303030001,Bandingan,16.223232,24.950282567912076,-8.727050567912077
3303010011,Senon,18.698579,28.004119413892887,-9.305540413892889
3303090004,Kutasari,18.362101,25.820117581667994,-7.458016581667994
3303090002,Munjul,25.608195,23.748193344217114,1.8600016557828845
3303110017,Binangun,21.862702,18.166620785607094,3.6960812143929047
3303110016,Cipaku,11.205737,16.222631386905963,-5.016894386905964
3303110015,Pager Andong,14.585764,13.358332705754417,1.2274312942455818
3303110019,Sangkanayu,17.736786,19.063160823551026,-1.3263748235510278
3303080006,Bojanegara,15.085232,30.142884030841387,-15.057652030841387
3303080004,Padamara,33.156499,26.807794008247313,6.348704991752683
3303080010,Prigi,30.835646,27.154531737913043,3.6811142620869575
3303040002,Pengadegan,9.308387,29.215982918705787,-19.907595918705788
3303060004,Jatisaba,26.831232,26.74474320256653,0.08648879743347138
3303060007,Penambongan,20.665427,34.42980294119448,-13.76437594119448
3303060011,Purbalingga Lor,46.239211,25.50305866096925,20.73615233903075
